                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95175,                 2.0358,                 1.0615,                0.57943,                0.77273,                0.71976,                0.55607,                 0.8842,                 1.8397,                0.96862,             0.00036977,             0.00036977,             0.00036977
                     36,                0.92675,                 1.9533,                 1.0622,                0.38284,                0.93353,                0.70071,                0.53388,                0.95583,                 1.8967,                0.96957,             0.00036203,             0.00036203,             0.00036203
                     37,                0.97147,                 1.9557,                 1.1496,                0.41865,                      1,                0.84943,                0.65803,                 1.0349,                 1.8451,                 1.0008,              0.0003543,              0.0003543,              0.0003543
                     38,                0.88485,                 1.9201,                 1.0238,                0.59761,                0.81244,                0.93781,                0.71958,                0.99445,                 1.7075,                0.99491,             0.00034656,             0.00034656,             0.00034656
                     39,                0.87109,                 1.8903,                 1.0411,                0.54439,                0.87975,                 0.7943,                0.63997,                0.95637,                 1.7288,                0.98589,             0.00033883,             0.00033883,             0.00033883
                     40,                0.81949,                 1.7869,                 1.0661,                 0.5703,                0.84333,                0.76005,                0.61014,                0.90199,                 1.8673,                0.96512,             0.00033109,             0.00033109,             0.00033109
                     41,                0.90082,                 1.8579,                 1.0483,                0.57982,                0.89051,                0.77744,                0.61526,                0.88552,                 1.7365,                 0.9444,             0.00032336,             0.00032336,             0.00032336
                     42,                0.82638,                 1.8349,                 1.0573,                0.53239,                0.95455,                0.90071,                0.70243,                0.87557,                 1.5103,                0.92475,             0.00031562,             0.00031562,             0.00031562
                     43,                0.89551,                  1.858,                 1.0291,                0.79294,                0.87588,                0.98174,                0.75083,                 0.8742,                 1.3673,                0.93975,             0.00030789,             0.00030789,             0.00030789
                     44,                0.88225,                 1.6026,                 1.0078,                0.73214,                0.99252,                0.98742,                0.75562,                0.92181,                 1.2894,                0.96315,             0.00030016,             0.00030016,             0.00030016
                     45,                0.93318,                 1.7184,                 1.0431,                0.73045,                0.97727,                0.96859,                0.73048,                0.91995,                 1.2804,                0.96712,             0.00029242,             0.00029242,             0.00029242
                     46,                0.88783,                 1.6679,                 1.0201,                0.63076,                0.95819,                0.95623,                0.74541,                0.90475,                 1.3525,                0.96115,             0.00028469,             0.00028469,             0.00028469
                     47,                0.84481,                  1.552,                0.99798,                0.57757,                0.96002,                0.96578,                0.76095,                0.90489,                  1.435,                0.94685,             0.00027695,             0.00027695,             0.00027695
                     48,                0.86795,                 1.5716,                 1.0278,                0.60829,                0.95455,                0.97552,                0.78065,                0.89331,                 1.3815,                0.93788,             0.00026922,             0.00026922,             0.00026922
                     49,                0.79345,                 1.4892,                 1.0104,                0.67792,                0.95455,                0.97617,                0.79913,                0.88057,                 1.2584,                0.94037,             0.00026148,             0.00026148,             0.00026148
                     50,                0.86103,                 1.5945,                 1.0137,                0.79724,                0.96939,                0.98742,                0.79094,                0.87918,                 1.1467,                0.94369,             0.00025375,             0.00025375,             0.00025375
